,Ache,Aldoc,Bcl11b,Cadps2,Calb1,Calb2,Cartpt,Cck,Cdh13,Chat,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gal,Gda,Gnrh1,Grin3a,Grm1,Grm8,Hapln1,Hcn1,Htr2c,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Lhx8,Meis2,Napb,Ndnf,Ndrg4,Neurod6,Nos1,Nov,Npy,Npy2r,Nr4a2,Nrn1,Ntng1,Nts,Pcp4,Pde1a,Peg10,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,S100a10,Satb1,Scgn,Sema3c,Serpini1,Slc17a6,Slc17a7,Slc17a8,Slc18a3,Slc32a1,Slc5a7,Slc6a1,Snca,Sncg,Sox6,Sp8,Spp1,Sst,Stxbp1,Synpr,Syt2,Tac1,Tac2,Tacr2,Tacr3,Tcf7l2,Th,Thsd7a,Trp53i11,Vgf,Vip,Wfs1,Yjefn3,Zic1,Zic4
Cell_1,6.515378015470337e-16,0.908692230424951,0.9363985832634253,0.94511323742407,0.0,0.0,0.0,0.0,3.888502100393163,0.0,0.000135425650798513,1.904598240952211,3.033303382725062,0.0,0.0,0.33909078506203655,7.432380741340081,1.8607022588338085,0.0,0.0,1.3198583547992817,2.929928141653168,1.955335861791808,0.0,7.086910826197274,0.0,0.0,0.0,0.8363336307118439,0.9294342603247464,1.5473676279731972e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.364014165325437e-06,0.0,0.0,5.039453920964339,2.756650545117276e-05,0.0,0.0002994883999468607,0.0,0.0,0.0,0.0,0.0,0.0,6.450033334188565e-08,0.0,3.7527704459790456,0.8243690367575773,0.0,5.563055351301554,1.7440551203726293e-06,0.908881638738061,1.9847954983912887e-05,0.8844625466862297,1.0514836315910643,0.00014535018630390105,2.91949980532341,0.0,1.067817990675669,0.0,0.0,2.7243184351575023,0.0020109108831417137,0.0,0.9698348383766815,0.0,0.004896903383258398,9.904653098468204e-06,0.9320602401046152,0.0,0.0,0.7824686225245044,0.0,0.5980634369999291,0.0,0.0,12.868510108164168,0.0,0.8829440283512544,0.0,0.0,0.0,2.2994109700415145e-06,2.6937618414261246,2.117190122124754e-07,0.0,0.0,0.0,0.0,0.0,0.0018633936024014435,0.0,0.0,0.9328348505934699,0.0,0.0,0.9365660380649881,0.9224152722152139,0.0,0.6141600784020225
Cell_2,0.9826158082367261,2.959853851310678,1.9498869871742586,4.946679926930463,0.0,1.1305768561833919e-09,0.0,0.9694234129800003,0.9600125270908757,0.0,0.0,0.9839064714606476,9.901873399680051,0.1328068266473621,0.0,0.02888672584949224,11.524358386353812,1.9425734945034139,0.0,1.8934966387907228,0.003690339591240778,3.700031731403203,0.9524755074090473,0.0,18.12950084435264,0.9719758373479299,0.0,0.0,0.9823520316691113,6.112910253699512e-07,0.9367905126685753,0.0,0.0,0.06110053284134426,0.0,0.0,1.9556037252764122,2.95334459061003,2.364595021534621e-10,0.0,14.916995219163798,2.925762650665937,0.0008796960201550878,0.8965012524034885,0.0,0.0,0.0,0.0,0.0,0.0,1.9598906858353926,0.0,2.652851006054763e-06,0.9582233795978315,0.0,0.7312770744440726,6.574752543484128,0.0009243498678733201,4.949527600893436,1.0797711405098713e-05,0.9335968560064462,4.941329852444419,8.021729170296047e-07,0.0,2.734563636200266,0.0,0.0,0.15784891372019963,1.9736967891759574,0.0,4.9475410869419125,0.24088343664399503,5.9103499973271285,0.9299261062208867,2.7482423070395137e-06,2.8131806857647037,1.7622477976140885,6.817943229386313e-10,0.0,6.0179005937940285e-05,0.0,0.0,19.086235538199624,0.95862493766735,3.395218130817914e-05,0.0,0.0,0.0,9.905816535631203,2.9803266955562986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.696803436127389e-08,0.0,0.0003535573152714118,6.848349031032357e-08,3.1778036592305847e-07,0.0,4.6796168991235506e-05
Cell_3,1.876341518839688e-08,2.722704459096549,1.2522815394487243e-06,0.6175635982294346,0.0,0.0,0.0,1.0120180067908127e-08,0.010013241929250937,0.0,0.0,0.4821355392268761,2.5489632719236184,0.05724866435589975,0.0,0.0,2.9906626942678862,0.935322807457468,0.0,2.3777635433507987e-07,4.817391804909687,5.308506571851675,0.9596017967738939,0.0,2.4923200591286565e-06,0.9009444674001876,0.0,0.0,4.6500517462667166e-08,0.0,0.0,0.0,0.0,0.5072201002586539,0.0,3.9342131432557768,1.423965117913737e-06,0.6045567099138383,0.0,0.0,0.9572389729196349,3.842697315299122e-07,6.290682460132535,0.1967432429606385,0.0,0.0,0.0,0.000695345330089045,0.0,0.0,2.6723067680693453e-09,0.0,0.0,0.0,0.0,1.0647461074939453,0.953327265314741,0.0,6.849322483332533e-10,0.0,1.943073758166879,3.765854339478615e-08,0.0,0.0,0.4943102306365597,0.0,0.0,0.0020181090562827646,5.692508037503855e-11,0.0,1.2053702202398752e-06,0.0,1.5825691085847835e-10,0.0,0.0,0.02307305334226768,0.0001331307048655861,0.0,0.0,0.0,1.075006227607822e-06,0.0,5.025751299489469,2.3350634738926925e-07,0.8146704669366199,0.0,0.0,0.0,0.00025835073721245234,1.7175853510404724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9507920264203881,0.0,0.0023420297124529914,0.0,0.0,0.0,1.7129033637693287
Cell_4,2.1802058495639457e-08,0.704525751131134,0.955716895693007,0.007511801161128895,6.60862832858452e-17,0.0006492196592178888,0.0,0.0,4.9427456190237895e-15,0.0,0.0,0.034152655816075246,0.06789802830610991,0.04404494908443593,0.0,0.0,1.1198956023207103,0.0,0.0,0.0,2.9457185085849056,2.194730219013706,0.9794297362751111,0.0,1.01222561187872,0.0,0.0,0.009393612227514458,0.0,0.0009925992604055,0.0,0.005767841664125645,0.0,0.0,0.00012447808231627613,0.969524295589265,0.0,0.0,0.010782520341106307,0.0,3.6017366858456046,0.0,0.0,0.0,0.0608491681600395,0.0,0.0,0.0,0.0,0.8965373433176307,0.0,0.008139176750681829,0.0016388636449814011,0.0,0.0,1.0018898019527192,4.745480680304296e-06,0.0,2.128381213846607,0.012382101979865143,1.9900671934296112,0.0005742383645085885,5.793620259974111e-09,0.0,0.0044681555297418985,0.0,1.8520674031164611e-07,0.012915435366749915,0.00518535200848461,0.0,0.0,7.205896616900773e-15,0.058128465700212524,2.051227395130193e-06,0.0,2.4091289034431493e-07,0.0011658894077285246,0.0,0.0,0.0,0.0,0.0,0.14338802671704737,0.0,0.8759295665717228,0.0,0.0,0.0,0.004093524512834246,1.1136356493391293,0.0,0.0,1.0199707858842017e-08,0.0,0.0,0.0,0.0,0.0003545149806276157,0.0,0.00019605942824920536,0.0,0.0,0.939256361318952,0.0,0.0,0.0
Cell_5,2.8709423577544815,0.8313977888544961,0.0,2.8289020785115575,0.8461511120458511,0.0,0.0,0.0,7.627533950218651,0.0,0.0,3.9388267563493446,1.916911320308489,1.8794040182522094,0.0,0.9569921196146691,14.859148902002559,0.0,0.0,0.0,14.884764210159346,2.9656114485001135,5.898393303536224,0.0,1.8773834762333577,0.946101923613949,0.0,0.0,2.4422707526452525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9112384683107465,0.00021745405081566367,0.0,0.900754941221045,4.802934494582102,1.9362494558945542,0.8677891451703587,0.0,0.0,0.0,0.019103495773267015,1.9423227522247348,0.0,4.866887948544672e-09,0.0,0.0,0.0,1.7852918154972675,0.0,11.926814541955322,3.4097559089164093,0.0,0.6574917756797769,0.005000034575011313,7.162675819265255,0.0,3.9396146759186976,0.0,2.017177659293426e-08,0.0,0.0,3.907930812369093,4.910253852314286,1.951415826310972,0.9674278341794621,0.7959511192650359,2.7688191601733574,0.0,0.0,0.0,0.0,0.0,0.506395763276983,3.7837411620846457,0.0,0.0,12.452590853098581,0.0,3.9304406610243103,0.0,0.0,0.0,0.0,2.8967497021650743,7.581377283460255e-10,0.0,0.7598310304026673,0.0,0.0,0.0,0.0,0.0,0.9401943387124869,3.2491100377541033,0.9384930476453928,0.0,0.9715733460180639,1.9481725526672364,0.0,0.0
Cell_6,0.0,8.92100332678152,0.2903688448990199,0.00040397588234634025,0.0,1.3824729011814932e-05,0.0,0.0,0.0,0.0,0.0,0.8469476515399726,0.01341549264558379,0.0006152170330813797,0.0,0.0,3.1390154043167975,0.0,0.0,0.0,6.610275469650784,13.367065660936415,0.42949181715343926,0.0,0.9971181982941735,0.0,0.0,1.688380237698377e-06,0.0008072373253725895,0.0,0.0,0.1350618629313466,0.0,0.0,0.0,6.192579674431168,0.0,0.0,0.8880709540432311,0.0,1.8696451993773424,0.0,0.9269314735568883,0.0,6.319895342332443e-09,0.0,0.0,0.0,0.0,0.0001501175079310131,0.0,3.524811913420584e-05,0.6689875843867619,0.0,0.0,1.51418027340531,0.9481619953337687,0.0,0.9402010803560485,2.955815490086338e-06,2.741674200635562,0.0034238240123307213,0.0,0.0,1.4644031882633788,0.0,0.0,0.8472547832954953,0.0014982977976108658,0.0,0.0,1.186342969316577e-06,0.03233652618406635,0.0,0.0,0.0,0.00815407029191037,0.0,0.0,0.0,0.0,0.01659191361474256,18.36088834592762,0.0,2.0474294194648176e-07,0.0,0.0,0.0,2.069171871771819,0.2254418808327104,0.0,0.0,0.0,0.0,0.0,0.0,9.079617360362101e-05,0.0,0.0,0.021291998344466018,0.0,0.0,0.9646922742389198,0.0,0.0,0.0
Cell_7,0.0,1.9741021865297608,0.0,2.860923984866297,0.0,0.0,0.0,0.0,0.0,0.0,1.1576885172794314e-20,3.893559871108178,0.9561000361108961,0.0,0.0,0.0,0.9813529244033304,0.0,0.0,0.0,2.2364009893962688e-10,3.52702563964163e-10,1.666718361234864e-07,0.0,2.9500794865465614,0.98521768389233,0.0,0.0,0.8753083793527132,0.8949161762929115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96624007514858,0.0,0.0,6.930026075982145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958994349309193,0.0,0.0,1.6900543960813657,0.8782427512612564,2.938225001282595,0.9507075594475151,0.0,0.0,0.0,0.5997046637920918,1.7856945421524606,0.9755281745257007,0.0,0.0,0.0,0.0,8.630674664512914e-21,1.9102333307837722,0.0,3.918572970320388,0.0,0.9587740420912356,0.0,0.9490524990876528,2.930470499801482,0.0,0.0,0.0,0.0,0.0,0.8508399658990128,6.020732888627606,0.0,0.0,0.0,0.0,0.0,0.0008810152483662941,2.944204928055695,0.9467386769217001,0.9200560783120271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596417165135648,0.9534145155738526,0.0,0.0
Cell_8,0.0,3.4713110491674106,0.0,1.820948016989119,0.0,0.9617504396170875,0.0,0.8567748269302744,0.0,0.0,0.0,0.0011904404725020402,1.9159038292312158,0.0,0.0,0.0,0.018880799558626572,0.005301548947484566,0.0,0.0,0.9532741902098121,3.1505196996842932,0.9648021775204298,0.0,0.9559372889134962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018217768024963335,0.0,0.0,2.807746376827885,0.0,0.0,0.00013350355533262698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350483519177507e-05,0.9746556588442435,0.0,9.71850033403224e-06,0.0,3.929632489704168,0.0,0.0,0.0,0.0,0.0,0.05367503240574573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.795322143874547,0.0,0.0,0.0,0.0,0.0,0.0,0.9675827528864043,0.0,0.0,0.0,0.0,0.0,0.0,0.0011187320184973587,0.0,0.0,9.56151740978932e-05,0.0,0.0,8.546347559116528e-05,0.0,0.0,0.0
Cell_9,1.342552348379514e-05,2.1340358779685307,3.01379419626181e-05,1.3195984564988394,0.0,0.0,0.0,6.711729810340553e-05,5.787572429372081e-05,5.171249307010954e-05,0.000159601934883733,0.0002642776254342537,0.9516511307217719,0.0,0.00010894033059820723,0.0,2.9313577198848493,0.0,0.0,0.0,14.90603634591828,2.96406395158601,9.456833831917068,8.960061906067325e-10,0.0027219483535782956,0.0009480586943627125,0.0,0.0,0.9210710302826959,0.0,0.0,0.0,0.0,0.0,0.0,6.3839625713930985,3.523124457150129e-07,0.00015052752191494303,0.010406452506759,0.0,1.9096735479603026,7.624909471081859e-06,0.00014475427190884953,3.014261960793289e-05,0.0,3.203296559406752e-05,0.0,2.4031519909990115e-05,0.0,0.0,0.0,0.0,1.18494367341448e-05,0.0,0.0,1.9217106177320245,0.0002649407853050576,3.6033611355808675e-05,4.12281929490456e-05,0.0,16.16351992582435,0.0,0.0017835126375941126,0.0,0.28751190191450277,0.0,0.0,4.492540349224563e-06,0.9482058804195783,0.0,0.00013220556820676494,0.4892765846627784,1.6587062127390057e-05,0.0001512205412098266,0.0,0.0001543698363187816,0.0,0.0,0.0,0.0023417734716586185,3.626746461927147e-06,1.790042366065613,10.745802307042387,0.0,0.0006404950738237573,0.0,7.314532688571906e-07,0.0,0.00018314277032463285,0.02183673127658284,0.0,0.0,0.0,0.0,0.0,0.0,0.9625827539500635,0.0,0.0,0.48204187979958796,0.0,0.0,2.748347513772726,7.515997398527632e-05,0.0,0.0
Cell_10,0.0003823475451272033,2.159978002506555,0.9320759014761142,1.8048784052600482,0.0,0.30775352744788503,0.0,0.0,3.710758877990498,2.1145662037669123e-05,0.0,4.826361776327285e-06,3.9033617965193637,0.9171265812798676,0.0,0.0,13.819600176881949,0.0,0.0,5.990947536159994e-13,1.379278783497896,4.639261261680239,1.0896011143614044e-05,1.7420852300769236,5.906477562614532,0.8329929676056474,0.0,0.0,0.9507522761773785,1.8711823272864125,0.0,0.0,0.0,0.0,0.7675782523490596,0.6743051141876908,0.0,8.120007502165855e-11,0.0,0.9469770961108281,5.248758171676184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9537077565359465,2.8758792770570434,0.0,0.9449081509761103,0.0,0.013131223674661364,0.0,0.9674173554640731,0.8639676382854599,3.311674014807155e-07,6.016645050888674e-14,0.836130683970282,0.8405152535659134,0.00034330912476085283,4.57952571125951e-09,1.9465020758900238,0.0,0.0,0.9004021743059769,9.957663413388175e-15,0.931588494815496,0.0,0.0,0.0,0.0,0.0,0.0,10.7666696391233,0.0,0.0,0.0,1.6660790013447547e-05,0.0,0.0,2.9420848003395306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.832057861542949,8.477956613231556e-05,0.0,0.0
