,Aldoc_class,Cadps2_class,Calb2_class,Col25a1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Slc6a1_class,Sncg_class,Sst_class,Trp53i11_class,Zero
Ache,1.8960008770293557,1.2345544598609373,1.6688406956308885,1.1001014636793642,3.0958211813831626,0.9786853492374719,1.234391053356505,3.0650318330581747,1.2098911748019305,1.1873375710058438,0.9408470912097185,0.655439075790392,1.6072816289221623,3.8035200550118313,1.8837233319845532,0.38039311837137774,2.553365689906822,1.8655120548879478,0.8878806472519375,2.684770993545335,2.6997024102460907,4.240273709117143,1.1054820207631533,4.735245289355936,0.059257227211690265
Aldoc,3.207638225353362,4.190604779030808,3.3339215595475484,2.039444593450534,1.5446031311620172,2.8736504263525515,2.535698932450831,5.475595031773952,3.309120466941113,2.8198351072182093,3.9437536026020847,1.4027371154077506,2.5718676042422874,4.320503582529914,2.480947937475183,2.3258844120446884,4.548008877917859,4.932682165013913,2.1639028341375655,2.1301975061498895,4.364910877606959,1.6126950974775214,1.6034839042700146,3.5436313956371874,0.3481724867110317
Bcl11b,1.259257518523138,0.6661664545725547,0.28743603321125605,2.1516133744881425,0.49264039525661263,1.7037589769985308,0.4706800790304063,1.0023284441316889,0.9084664782575761,1.5115976271792995,0.3009675126118959,0.2679409728184701,1.0845139577061491,1.4946985772823178,1.3059957626429557,0.22327971182031836,1.256200481006922,1.3510112455807108,0.20330352271357288,0.29064195224105566,2.2193957554043706,0.1392181884579942,1.2732511668057278,0.7539441046297995,0.06004218310581867
Cadps2,4.320915774157999,4.701420734595932,4.907797827512988,3.3960625370193855,1.6189055021436805,4.143102043791645,2.409966769194782,3.644521342327826,3.451789802515009,2.155702896486807,3.4698577743980006,2.535586982759011,2.9383241694351137,2.573098201329348,1.9607309026319082,0.718369811298052,2.491047323438102,5.779463546892636,2.441823671138186,1.7219838123472562,5.473081731060513,1.5453829240181007,1.7029045644937704,3.7082587846791344,0.10506263605048838
Calb1,0.03246722414523561,0.08572887392898648,0.006047868443588085,0.47501384045209893,0.021106321571504848,0.04599094012854169,0.0,0.29614622859984874,0.0435353392071405,0.08540885145827316,0.385814000048211,0.21540445028265356,0.07158457259118657,0.11027882812032211,0.05951672909656,0.010435221951072783,0.032774599304481226,0.17137643571479136,0.2511533316227956,0.25856134256979335,0.03625643028151659,0.6613139398513895,0.06371689850257749,0.26361865418190206,0.014778401115769085
Calb2,0.1600540068000426,0.18413646761822183,8.345574853786703,1.9861879085684715,0.14859684249212793,2.5372305379126705,0.6704131595508018,0.4790816313400432,0.08230954505682177,6.027464325191645,0.43969605058453054,4.861449641762927,0.4604033998680974,0.6241247189179862,0.16338405210004955,0.23416427295634734,0.4210824807306239,0.04955887345956464,4.808926214744234,0.4787989654475434,2.375651697644627,0.05216544745839566,0.22831467340359546,2.552740090167924,0.060088668568130846
Cartpt,0.04317590896736962,0.014089724917097014,0.0,0.03219041414161445,0.0300786116237973,0.02933269990656386,0.00045445604025337317,0.1619402311758249,0.05772328906916078,0.030488427991417242,0.03418600534968884,8.563492163581413e-05,0.011102519477156162,0.0002071442509540904,0.03539298703105169,0.006314578271777109,0.00400997961315831,0.0,0.024751451733795535,0.08925743690855406,0.0,0.042050569465553654,0.0034896988898327117,0.0,0.0
Cck,0.18045757472306603,0.8715868361099316,0.20615277398303172,0.18815068175739375,0.16051304393965057,0.18786263039425657,0.26528281310708873,0.26527101110787193,0.3591340060951917,0.15748262586551467,0.13378364044078397,0.25454321516938466,0.12434815154876606,0.033464161561196394,0.030760260381712194,0.061977105663590513,0.1897931470157407,0.7612360175277951,0.7499688613105371,0.1893226868073828,0.29897830166767553,0.23200232119957243,0.09491388508242574,0.3635621293099587,0.018867957755639347
Cdh13,5.182445329181513,3.9512230900572103,0.11374149130750442,2.8998434675431137,9.289084674571352,1.605050801876674,0.9334923034110286,4.662618325136935,3.459067987123019,1.639297756743556,0.8906793675748274,0.5246510287588239,2.4489446147583402,12.965922828538414,1.8073065815662654,0.4407123121076949,3.64635399842239,11.343689098649453,0.5542181962018667,6.742889781176826,4.0154928413235895,6.3473883306135805,1.2397913945420151,6.920815200570185,0.07640136489051315
Chat,0.2549594485956334,0.3040061035093295,0.042585396894489196,0.21221577644525025,0.09425533632236537,0.031760198348100614,0.25708808872526584,0.5457566331810765,0.14378634976346935,0.06339908803938539,0.2196338728109451,0.03170546499665305,0.1636922628018174,0.2137636519649967,0.23606358992552823,0.059273304010946895,0.5297859215395506,0.2983502320949838,0.1194172448918917,0.4352416716586182,0.19478362051205414,0.11994895449912475,0.40612029888040924,0.10199178263996353,0.018933569685176472
Chodl,0.053354383891276703,0.2276257318576546,0.04001623864278252,0.17790721293481054,0.08380593102153878,0.22062274412103236,0.1642968869404763,0.1770408932907066,0.1093956653017224,0.159975109309662,0.06215270043831385,0.008382985410070331,0.08506322482544952,0.22171799540726178,0.05837475704037371,0.028728766122176785,0.07648013409082362,0.06519492952248594,0.031013709714630057,0.046790385068553056,0.6337176000565635,0.167770102982956,0.19098063497831283,0.008274708308382894,0.004706631971163594
Chrm2,4.657057255568085,3.3829851815440373,2.5678231773925186,1.456680020624162,4.069397645923208,2.0693136488040507,0.9873297465651447,6.461808341635439,3.203418993785708,1.6402669016500482,5.968770936478619,1.0742083057003171,3.2303237037386654,6.698665796581935,2.053506785401888,0.44786868242083605,4.088717405596979,10.931273028167102,4.0499501388073,3.2359192694707044,2.804443786054654,2.45901801528663,1.0703773707883941,7.905204457856952,0.03982352517826522
